item(abutton,s0,msg(autoStartSysMsg,dispatch,abutton,abutton,start,7)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),11)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),12)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),13)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),14)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),16)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),17)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),19)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),20)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),22)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),23)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),25)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),26)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),28)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),29)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),31)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),32)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),34)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),35)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),37)).
