item(led,s0,msg(autoStartSysMsg,dispatch,led,led,start,5)).
item(led,s0,msg(config,dispatch,led,led,config(ledgui),6)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(off),7)).
item(led,waitCmd,msg(turnOn,dispatch,coapalien,led,turnOn(ok),1)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(on),8)).
item(led,waitCmd,msg(turnOff,dispatch,coapalien,led,turnOff(ok),2)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(off),9)).
item(led,waitCmd,msg(turnOn,dispatch,coapalien,led,turnOn(ok),3)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(on),10)).
item(led,waitCmd,msg(turnOff,dispatch,coapalien,led,turnOff(ok),4)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(off),11)).
item(led,waitCmd,msg(turnOn,dispatch,python,led,turnOn(a),2)).
item(led,waitCmd,msg(turnOff,dispatch,python,led,turnOff(a),3)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(on),12)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(off),13)).
item(led,waitCmd,msg(turnOn,dispatch,coapalien,led,turnOn(ok),5)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(on),14)).
item(led,waitCmd,msg(turnOff,dispatch,coapalien,led,turnOff(ok),6)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(off),15)).
item(led,waitCmd,msg(turnOn,dispatch,python,led,turnOn(a),2)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(on),16)).
item(led,waitCmd,msg(turnOff,dispatch,python,led,turnOff(a),3)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(off),17)).
item(led,waitCmd,msg(turnOn,dispatch,python,led,turnOn(a),2)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(on),18)).
item(led,waitCmd,msg(turnOff,dispatch,python,led,turnOff(a),3)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(off),19)).
