item(abutton,s0,msg(autoStartSysMsg,dispatch,abutton,abutton,start,7)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),10)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),11)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),12)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),14)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),15)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),17)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),18)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),20)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),21)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),23)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),24)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),26)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),27)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),29)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),30)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),32)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),33)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),35)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),36)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),38)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),39)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),41)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),42)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),44)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),45)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),47)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),48)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),50)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),51)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),53)).
