item(anobserver,s0,msg(autoStartSysMsg,dispatch,anobserver,anobserver,start,7)).
item(anobserver,s0,msg(ledchanged,event,led,none,ledchanged(off),9)).
item(anobserver,s0,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),7)).
item(anobserver,s0,msg(ledchanged,event,led,none,ledchanged(on),11)).
item(anobserver,s0,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),8)).
item(anobserver,s0,msg(ledchanged,event,led,none,ledchanged(off),13)).
item(anobserver,s0,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),9)).
item(anobserver,s0,msg(ledchanged,event,led,none,ledchanged(on),15)).
item(anobserver,s0,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),6)).
item(anobserver,s0,msg(ledchanged,event,led,none,ledchanged(off),17)).
item(anobserver,s0,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),6)).
item(anobserver,s0,msg(ledchanged,event,led,none,ledchanged(on),19)).
item(anobserver,s0,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),7)).
item(anobserver,s0,msg(ledchanged,event,led,none,ledchanged(off),21)).
item(anobserver,s0,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),8)).
item(anobserver,s0,msg(ledchanged,event,led,none,ledchanged(on),23)).
item(anobserver,s0,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),9)).
item(anobserver,s0,msg(ledchanged,event,led,none,ledchanged(off),25)).
item(anobserver,s0,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),10)).
item(anobserver,s0,msg(ledchanged,event,led,none,ledchanged(on),27)).
item(anobserver,s0,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),11)).
item(anobserver,s0,msg(ledchanged,event,led,none,ledchanged(off),29)).
item(anobserver,s0,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),12)).
item(anobserver,s0,msg(ledchanged,event,led,none,ledchanged(on),31)).
item(anobserver,s0,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),13)).
item(anobserver,s0,msg(ledchanged,event,led,none,ledchanged(off),33)).
item(anobserver,s0,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),6)).
item(anobserver,s0,msg(ledchanged,event,led,none,ledchanged(on),35)).
item(anobserver,s0,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),7)).
item(anobserver,s0,msg(ledchanged,event,led,none,ledchanged(off),37)).
item(anobserver,s0,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),8)).
