item(led,s0,msg(autoStartSysMsg,dispatch,led,led,start,5)).
item(led,s0,msg(config,dispatch,led,led,config(ledgui),8)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(off),9)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),7)).
item(led,waitCmd,msg(turnOn,dispatch,anobserver,led,turnOn(ok),10)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(on),11)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),8)).
item(led,waitCmd,msg(turnOff,dispatch,anobserver,led,turnOff(ok),12)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(off),13)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),9)).
item(led,waitCmd,msg(turnOn,dispatch,anobserver,led,turnOn(ok),14)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(on),15)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),6)).
item(led,waitCmd,msg(turnOff,dispatch,anobserver,led,turnOff(ok),16)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(off),17)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),6)).
item(led,waitCmd,msg(turnOn,dispatch,anobserver,led,turnOn(ok),18)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(on),19)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),7)).
item(led,waitCmd,msg(turnOff,dispatch,anobserver,led,turnOff(ok),20)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(off),21)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),8)).
item(led,waitCmd,msg(turnOn,dispatch,anobserver,led,turnOn(ok),22)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(on),23)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),9)).
item(led,waitCmd,msg(turnOff,dispatch,anobserver,led,turnOff(ok),24)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(off),25)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),10)).
item(led,waitCmd,msg(turnOn,dispatch,anobserver,led,turnOn(ok),26)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(on),27)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),11)).
item(led,waitCmd,msg(turnOff,dispatch,anobserver,led,turnOff(ok),28)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(off),29)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),12)).
item(led,waitCmd,msg(turnOn,dispatch,anobserver,led,turnOn(ok),30)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(on),31)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),13)).
item(led,waitCmd,msg(turnOff,dispatch,anobserver,led,turnOff(ok),32)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(off),33)).
item(led,waitCmd,msg(turnOn,dispatch,anobserver,led,turnOn(ok),34)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),6)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(on),35)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),7)).
item(led,waitCmd,msg(turnOff,dispatch,anobserver,led,turnOff(ok),36)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(off),37)).
item(led,waitCmd,msg(turnOn,dispatch,anobserver,led,turnOn(ok),38)).
