item(qasink,s0,msg(autoStartSysMsg,dispatch,qasink,qasink,start,9)).
item(sonarsimulator,nostate,msg(start,dispatch,qasink,sonarsimulator,start(qasource),10)).
item(datalogger,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(15),11)).
item(datacleaner,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(15),11)).
item(distancefilter,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(15),11)).
item(datalogger,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(13),12)).
item(datacleaner,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(13),12)).
item(distancefilter,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(13),12)).
item(datalogger,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(11),13)).
item(datacleaner,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(11),13)).
item(distancefilter,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(11),13)).
item(datalogger,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(9),14)).
item(datacleaner,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(9),14)).
item(distancefilter,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(9),14)).
item(datalogger,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(7),15)).
item(datacleaner,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(7),15)).
item(distancefilter,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(7),15)).
item(qasink,work,msg(obstacle,event,distancefilter,none,obstacle(7),16)).
item(datalogger,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(5),17)).
item(datacleaner,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(5),17)).
item(distancefilter,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(5),17)).
item(qasink,work,msg(obstacle,event,distancefilter,none,obstacle(5),18)).
item(datalogger,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(3),19)).
item(datacleaner,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(3),19)).
item(distancefilter,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(3),19)).
item(qasink,work,msg(obstacle,event,distancefilter,none,obstacle(3),20)).
item(datalogger,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(1),21)).
item(datacleaner,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(1),21)).
item(datalogger,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(-1),22)).
item(datacleaner,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(-1),22)).
item(datalogger,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(-3),23)).
item(datacleaner,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(-3),23)).
