item(led,s0,msg(autoStartSysMsg,dispatch,led,led,start,5)).
item(led,s0,msg(config,dispatch,manager,led,config(xxx),8)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(off),9)).
item(led,waitCmd,msg(turnOn,dispatch,manager,led,turnOn(0),10)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(on),11)).
item(led,waitCmd,msg(turnOff,dispatch,manager,led,turnOff(0),12)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(off),13)).
item(led,waitCmd,msg(turnOn,dispatch,manager,led,turnOn(0),14)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(on),15)).
item(led,waitCmd,msg(turnOff,dispatch,manager,led,turnOff(0),16)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(off),17)).
item(led,waitCmd,msg(turnOn,dispatch,manager,led,turnOn(0),18)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(on),19)).
item(led,waitCmd,msg(turnOff,dispatch,manager,led,turnOff(0),20)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(off),21)).
item(led,waitCmd,msg(turnOn,dispatch,python,led,turnOn(a),2)).
item(led,waitCmd,msg(turnOff,dispatch,python,led,turnOff(a),3)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(on),22)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(off),23)).
item(led,waitCmd,msg(turnOn,dispatch,python,led,turnOn(a),2)).
item(led,waitCmd,msg(turnOff,dispatch,python,led,turnOff(a),3)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(on),24)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(off),25)).
item(led,waitCmd,msg(turnOn,dispatch,python,led,turnOn(a),2)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(on),26)).
item(led,waitCmd,msg(turnOff,dispatch,python,led,turnOff(a),3)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(off),27)).
item(led,waitCmd,msg(turnOn,dispatch,python,led,turnOn(a),2)).
item(led,waitCmd,msg(turnOff,dispatch,python,led,turnOff(a),3)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(on),28)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(off),29)).
item(led,waitCmd,msg(turnOn,dispatch,python,led,turnOn(a),2)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(on),30)).
item(led,waitCmd,msg(turnOff,dispatch,python,led,turnOff(a),3)).
item(led,waitCmd,msg(ledchanged,event,led,none,ledchanged(off),31)).
