item(manager,s0,msg(autoStartSysMsg,dispatch,manager,manager,start,7)).
item(manager,end,msg(ledchanged,event,led,none,ledchanged(off),9)).
item(manager,end,msg(ledchanged,event,led,none,ledchanged(on),11)).
item(manager,end,msg(ledchanged,event,led,none,ledchanged(off),13)).
item(manager,end,msg(ledchanged,event,led,none,ledchanged(on),15)).
item(manager,end,msg(ledchanged,event,led,none,ledchanged(off),17)).
item(manager,end,msg(ledchanged,event,led,none,ledchanged(on),19)).
item(manager,end,msg(ledchanged,event,led,none,ledchanged(off),21)).
item(manager,end,msg(ledchanged,event,led,none,ledchanged(on),22)).
item(manager,end,msg(ledchanged,event,led,none,ledchanged(off),23)).
item(manager,end,msg(ledchanged,event,led,none,ledchanged(on),24)).
item(manager,end,msg(ledchanged,event,led,none,ledchanged(off),25)).
item(manager,end,msg(ledchanged,event,led,none,ledchanged(on),26)).
item(manager,end,msg(ledchanged,event,led,none,ledchanged(off),27)).
item(manager,end,msg(ledchanged,event,led,none,ledchanged(on),28)).
item(manager,end,msg(ledchanged,event,led,none,ledchanged(off),29)).
item(manager,end,msg(ledchanged,event,led,none,ledchanged(on),30)).
item(manager,end,msg(ledchanged,event,led,none,ledchanged(off),31)).
