item(basicrobot,s0,msg(autoStartSysMsg,dispatch,basicrobot,basicrobot,start,5)).
item(basicrobot,work,msg(cmd,dispatch,console,basicrobot,cmd(r),1)).
item(basicrobot,work,msg(cmd,dispatch,console,basicrobot,cmd(l),2)).
item(basicrobot,work,msg(step,request,console,basicrobot,step(600),3)).
item(basicrobot,doStep,msg(local_tout_basicrobot_doStep,event,timer_doStep,none,local_tout_basicrobot_doStep,8)).
item(basicrobot,stepPerhapsDone,msg(local_tout_basicrobot_stepPerhapsDone,event,timer_stepPerhapsDone,none,local_tout_basicrobot_stepPerhapsDone,11)).
item(basicrobot,work,msg(step,request,console,basicrobot,step(600),4)).
item(basicrobot,doStep,msg(local_tout_basicrobot_doStep,event,timer_doStep,none,local_tout_basicrobot_doStep,15)).
item(basicrobot,stepPerhapsDone,msg(local_tout_basicrobot_stepPerhapsDone,event,timer_stepPerhapsDone,none,local_tout_basicrobot_stepPerhapsDone,18)).
item(basicrobot,work,msg(step,request,console,basicrobot,step(600),5)).
item(basicrobot,doStep,msg(collision,dispatch,vr,basicrobot,collision(wallDown),22)).
