2020-04-11 10:40:10 INFO  NetworkConfig:422 - writing properties to file C:\Progetti\tel\it.unibo.qak20.boudaryrobot.analysis\Californium.properties
2020-04-11 10:40:11 INFO  RandomTokenGenerator:55 - using tokens of 8 bytes in length
2020-04-11 10:40:11 INFO  CoapEndpoint:423 - CoapEndpoint uses udp plain
2020-04-11 10:40:11 INFO  BlockwiseLayer:207 - BlockwiseLayer uses MAX_MESSAGE_SIZE=1024, PREFERRED_BLOCK_SIZE=512, BLOCKWISE_STATUS_LIFETIME=300000 and MAX_RESOURCE_BODY_SIZE=8192
2020-04-11 10:40:11 INFO  ReliabilityLayer:83 - ReliabilityLayer uses ACK_TIMEOUT=2000, ACK_RANDOM_FACTOR=1.5, and ACK_TIMEOUT_SCALE=2.0
2020-04-11 10:40:11 INFO  CoapServer:207 - Starting server
2020-04-11 10:40:11 INFO  UDPConnector:161 - UDPConnector starts up 4 sender threads and 4 receiver threads
2020-04-11 10:40:11 INFO  UDPConnector:187 - UDPConnector listening on 0.0.0.0/0.0.0.0:8018, recv buf = 65536, send buf = 65536, recv packet size = 2048
2020-04-11 10:40:11 INFO  CoapEndpoint:485 - Started endpoint at coap://0.0.0.0:8018
2020-04-11 10:45:26 INFO  NetworkConfig:372 - loading properties from file C:\Progetti\tel\it.unibo.qak20.boudaryrobot.analysis\Californium.properties
2020-04-11 10:45:27 INFO  RandomTokenGenerator:55 - using tokens of 8 bytes in length
2020-04-11 10:45:27 INFO  CoapEndpoint:423 - CoapEndpoint uses udp plain
2020-04-11 10:45:27 INFO  BlockwiseLayer:207 - BlockwiseLayer uses MAX_MESSAGE_SIZE=1024, PREFERRED_BLOCK_SIZE=512, BLOCKWISE_STATUS_LIFETIME=300000 and MAX_RESOURCE_BODY_SIZE=8192
2020-04-11 10:45:27 INFO  ReliabilityLayer:83 - ReliabilityLayer uses ACK_TIMEOUT=2000, ACK_RANDOM_FACTOR=1.5, and ACK_TIMEOUT_SCALE=2.0
2020-04-11 10:45:27 INFO  CoapServer:207 - Starting server
2020-04-11 10:45:27 INFO  UDPConnector:161 - UDPConnector starts up 4 sender threads and 4 receiver threads
2020-04-11 10:45:27 INFO  UDPConnector:187 - UDPConnector listening on 0.0.0.0/0.0.0.0:8018, recv buf = 65536, send buf = 65536, recv packet size = 2048
2020-04-11 10:45:27 INFO  CoapEndpoint:485 - Started endpoint at coap://0.0.0.0:8018
2020-04-11 10:49:44 INFO  NetworkConfig:372 - loading properties from file C:\Progetti\tel\it.unibo.qak20.boudaryrobot.analysis\Californium.properties
2020-04-11 10:49:46 INFO  RandomTokenGenerator:55 - using tokens of 8 bytes in length
2020-04-11 10:49:46 INFO  CoapEndpoint:423 - CoapEndpoint uses udp plain
2020-04-11 10:49:46 INFO  BlockwiseLayer:207 - BlockwiseLayer uses MAX_MESSAGE_SIZE=1024, PREFERRED_BLOCK_SIZE=512, BLOCKWISE_STATUS_LIFETIME=300000 and MAX_RESOURCE_BODY_SIZE=8192
2020-04-11 10:49:46 INFO  ReliabilityLayer:83 - ReliabilityLayer uses ACK_TIMEOUT=2000, ACK_RANDOM_FACTOR=1.5, and ACK_TIMEOUT_SCALE=2.0
2020-04-11 10:49:46 INFO  CoapServer:207 - Starting server
2020-04-11 10:49:46 INFO  UDPConnector:161 - UDPConnector starts up 4 sender threads and 4 receiver threads
2020-04-11 10:49:46 INFO  UDPConnector:187 - UDPConnector listening on 0.0.0.0/0.0.0.0:8018, recv buf = 65536, send buf = 65536, recv packet size = 2048
2020-04-11 10:49:46 INFO  CoapEndpoint:485 - Started endpoint at coap://0.0.0.0:8018
2020-04-11 10:51:51 INFO  NetworkConfig:372 - loading properties from file C:\Progetti\tel\it.unibo.qak20.boudaryrobot.analysis\Californium.properties
2020-04-11 10:51:52 INFO  RandomTokenGenerator:55 - using tokens of 8 bytes in length
2020-04-11 10:51:52 INFO  CoapEndpoint:423 - CoapEndpoint uses udp plain
2020-04-11 10:51:52 INFO  BlockwiseLayer:207 - BlockwiseLayer uses MAX_MESSAGE_SIZE=1024, PREFERRED_BLOCK_SIZE=512, BLOCKWISE_STATUS_LIFETIME=300000 and MAX_RESOURCE_BODY_SIZE=8192
