item(sonarsimulator,nostate,msg(simulatorstart,dispatch,sonar,sonarsimulator,simulatorstart(qasource),11)).
item(sonarsimulator,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonarsimulator,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonarsimulator,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonarsimulator,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonarsimulator,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonarsimulator,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonarsimulator,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonarsimulator,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonarsimulator,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(sonarsimulator,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonarsimulator,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(sonarsimulator,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonarsimulator,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(sonarsimulator,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonarsimulator,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(sonarsimulator,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonarsimulator,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(sonarsimulator,nostate,msg(obstacle,event,distancefilter,none,obstacle(5),20)).
item(sonarsimulator,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonarsimulator,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(sonarsimulator,nostate,msg(obstacle,event,distancefilter,none,obstacle(5),20)).
item(sonarsimulator,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonarsimulator,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
