item(sonar,s0,msg(autoStartSysMsg,dispatch,sonar,sonar,start,10)).
item(sonarsimulator,nostate,msg(simulatorstart,dispatch,sonar,sonarsimulator,simulatorstart(qasource),11)).
item(datacleaner,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(15),12)).
item(datalogger,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(15),12)).
item(distancefilter,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(15),12)).
item(datacleaner,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(13),13)).
item(datalogger,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(13),13)).
item(distancefilter,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(13),13)).
item(datacleaner,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(11),14)).
item(datalogger,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(11),14)).
item(distancefilter,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(11),14)).
item(datacleaner,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(9),15)).
item(datalogger,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(9),15)).
item(distancefilter,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(9),15)).
item(sonar,s0,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datacleaner,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonardatasource,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonar,handleObstacle,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datacleaner,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonar,handleObstacle,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonardatasource,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonar,handleObstacle,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonar,handleObstacle,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datacleaner,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datacleaner,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonardatasource,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonardatasource,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datacleaner,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonardatasource,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonar,handleObstacle,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datacleaner,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonardatasource,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonar,handleObstacle,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datacleaner,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(7),17)).
item(datalogger,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(7),17)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datacleaner,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonar,handleObstacle,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonardatasource,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(7),17)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonar,handleObstacle,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datacleaner,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonar,handleObstacle,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonardatasource,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datacleaner,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(sonar,handleObstacle,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(sonardatasource,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datacleaner,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonardatasource,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonar,handleObstacle,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(datacleaner,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(sonardatasource,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(sonar,handleObstacle,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datacleaner,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonar,handleObstacle,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonardatasource,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(datacleaner,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(sonardatasource,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(sonar,handleObstacle,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datacleaner,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonar,handleObstacle,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonardatasource,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(datacleaner,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(sonardatasource,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(sonar,handleObstacle,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(datacleaner,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(5),19)).
item(datalogger,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(5),19)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(sonarRobot,event,sonarsimulator,none,sonar(5),19)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonar,handleObstacle,msg(obstacle,event,distancefilter,none,obstacle(5),20)).
item(datacleaner,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonardatasource,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonar,handleObstacle,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(datacleaner,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(sonardatasource,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(sonar,handleObstacle,msg(obstacle,event,distancefilter,none,obstacle(7),18)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(5),20)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(5),20)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(5),20)).
item(datalogger,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(datacleaner,nostate,msg(obstacle,event,distancefilter,none,obstacle(5),20)).
item(distancefilter,nostate,msg(obstacle,event,distancefilter,none,obstacle(9),16)).
item(sonardatasource,nostate,msg(obstacle,event,distancefilter,none,obstacle(5),20)).
item(sonar,handleObstacle,msg(obstacle,event,distancefilter,none,obstacle(5),20)).
